DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ÉTABLISSEMENT;TYPOLOGIE DE L'ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITÉS D'HABITATION;NOMBRE DE LOGEMENTS
18/11/2016;18/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL BERNE OPERA;37 rue de Berne;75008;PARIS;143870892;hotelberneopera@regetel.com;http://www.paris-hotel-berne-opera.com;-;78;34;-;-;-
17/11/2016;17/11/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;1ÈRE AVENUE VILLA VAL SENART;8 rue des 2 Communes;91480;QUINCY-SOUS-SENART;169428944;INFO@VSHOTEL.FR;http://vshotel.fr/;-;248;-;-;106;-
16/11/2016;16/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL BEST WESTERN PARIS LOUVRE OPÉRA;4 rue des Moulins;75001;PARIS;140200110;hotelparislouvreopera@hotmail.com;www.hotelparislouvreopera.com;-;39;20;-;-;-
16/11/2016;16/11/2016;HÔTEL;4 étoiles;-;-;HÔTEL DU PETIT MOULIN;29-31 RUE DE POITOU;75003;PARIS;142741010;lionel@hoteldupetitmoulin.com;http://www.hoteldupetitmoulin.com;-;35;17;-;-;-
16/11/2016;16/11/2016;HÔTEL;4 étoiles;-;-;HÔTEL OPÉRA RICHEPANSE;14 RUE DU CHEVALIER DE SAINT-GEORGE;75001;PARIS;142603600;direction@richepanse.com;http://www.richepanse.com;-;92;39;-;-;-
15/11/2016;15/11/2016;HÔTEL;2 étoiles;-;-;COSMOS HÔTEL;35 rue jean-pierre timbaud;75011;PARIS;143572588;info@cosmos-hotel-paris.com;http://www.cosmos-hotel-paris.com;-;82;36;-;-;-
15/11/2016;15/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL IBIS PARIS CONVENTION 15ÈME;5 RUE EUGèNE GIBEZ;75015;PARIS;148286314;H3267-GM@ACCOR.COM;www.ibis.com;-;90;48;-;-;-
15/11/2016;15/11/2016;CAMPING;3 étoiles;Tourisme;-;CAMPING LE BEAU VILLAGE DE PARIS;1 VOIE DES PRES;91700;VILLIERS-SUR-ORGE;160161786;contact@campingaparis.com;http://www.campingaparis.com;-;-;-;124;-;-
15/11/2016;15/11/2016;CAMPING;2 étoiles;Loisirs;-;CARAVANING LA PIERRE LONGUE;27 RUE DE LA PIERRE LONGUE;77760;BOULANCOURT;164241307;pierrelongue-veillard@orange.fr;http://www.caravaning-lapierrelongue.com;-;-;-;20;-;-
15/11/2016;15/11/2016;CAMPING;3 étoiles;Loisirs;-;ILE DE BOULANCOURT;6 ALLEE DES MARRONNIERS;77760;BOULANCOURT;164241338;campingiledeboulancourt@orange.fr;http://camping-iledeboulancourt.com;-;-;-;110;-;-
14/11/2016;14/11/2016;HÔTEL;3 étoiles;-;-;QUALITY HOTEL MALESHERBES;11 place Saint-Augustin;75008;PARIS;142932766;info@hotelmalesherbes.com;http://www.hotelmalesherbes.com;-;45;24;-;-;-
13/11/2016;13/11/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;APPART'CITY CERGY LE HAUT;52 boulevard de l'Evasion;95800;CERGY LE HAUT;134466200;pontoise-cergylehaut@appartcity.com;http://www.appartcity.com;-;266;-;-;108;-
13/11/2016;13/11/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;SEJOURS & AFFAIRES APPARTHOTEL PARIS VITRY;108 boulevard de Stalingrad ;94400;VITRY-SUR-SEINE;143902828;paris.vitry@sejours-affaires.com;http://www.sejours-affaires.com;-;164;-;-;80;-
13/11/2016;13/11/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;ADAGIO ACCESS COLOMBES LA DEFENSE;2 rue Pierre Expert;92700;COLOMBES;146526780;h9296@adagio-city.com;www.adagio-city.com;-;192;-;-;84;-
13/11/2016;13/11/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;APPART'CITY POISSY;12 rue Jacob Courant;78300;POISSY;130066000;poissy@appartcity.com;http://www.appartcity.com;-;198;-;-;127;-
13/11/2016;13/11/2016;RÉSIDENCE DE TOURISME;4 étoiles;-;-;ADAGIO PARIS TOUR EIFFEL;14 RUE DU THEATRE;75015;PARIS;145718888;H6790-GM@ADAGIO-CITY.COM;http://WWW.ADAGIO-CITY.COM;-;1224;-;-;375;-
13/11/2016;13/11/2016;RÉSIDENCE DE TOURISME;4 étoiles;-;-;APPART'CITY PARIS GRANDE BIBLIOTHÈQUE;70 avenue de France;75013;PARIS;179975200;paris-grandebibliotheque@appartcity.com;www.appartcity.com;-;386;-;-;144;-
12/11/2016;12/11/2016;HÔTEL;4 étoiles;-;-;AUBERGE DU MANET;61 AVENUE DU MANET;78180;MONTIGNY-LE-BRETONNEUX;130648900;mail@aubergedumanet.com;www.aubergedumanet.com;-;90;45;-;-;-
12/11/2016;12/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL OPÉRA FROCHOT;4 RUE FROCHOT;75009;PARIS;148780528;direction.opera.frochot@orange.fr;http://www.hoteloperafrochot.com/;-;48;24;-;-;-
12/11/2016;12/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL SAINT HONORÉ;85 RUE SAINT-HONORé;75001;PARIS;142362038;contact@hotelsthonore.com;http://www.hotelsthonore.com;-;47;24;-;-;-
12/11/2016;12/11/2016;HÔTEL;4 étoiles;-;-;HÔTEL MERCURE PARIS CHAMPS ÉLYSÉES;51 rue Lauriston;75116;PARIS;156265929;H7096-gm@accor.com;http://www.accorhotels.com/fr/hotel-7096-hotel-mercure-paris-champs-elysees/index.shtml;-;83;46;-;-;-
11/11/2016;11/11/2016;HÔTEL;4 étoiles;-;-;HÔTEL MERCURE PARIS BOULOGNE;37 place René Clair;92100;BOULOGNE-BILLANCOURT;149104910;h6188-gm@accor.com;http://www.accorhotels.com/fr/hotel-6188-hotel-mercure-paris-boulogne/index.shtml;-;524;191;-;-;-
11/11/2016;11/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL IBIS STYLES VERSAILLES GUYANCOURT;Place Georges Besse;78280;GUYANCOURT;130441453;ha548-gm@accor.com;www.ibis.com;-;204;102;-;-;-
11/11/2016;11/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL SUBLIM EIFFEL;94 boulevard garibaldi;75015;PARIS;140659595;Info@sublimeiffel.com;http://www.sublimeiffel.com;-;39;19;-;-;-
11/11/2016;11/11/2016;HÔTEL;3 étoiles;-;-;A L'HÔTEL DES ROYS;14 AVENUE DE PARIS;78000;VERSAILLES;139505600;br@hotel-roys-versailles.com;http://www.hotel-roys-versailles.com/;-;82;37;-;-;-
11/11/2016;11/11/2016;HÔTEL;2 étoiles;-;-;HÔTEL IBIS BUDGET PARIS PORTE DE VINCENNES;2 avenue Léon Gaumont;93100;MONTREUIL;156933090;h3086-gm@accor.com;http://www.accorhotels.com/fr/hotel-3086-ibis-budget-paris-porte-de-vincennes/index.shtml;-;559;208;-;-;-
11/11/2016;11/11/2016;HÔTEL;3 étoiles;-;-;LE DOMAINE DU MANET;43 AVENUE DU PLAN DE L'éGLISE;78180;MONTIGNY-LE-BRETONNEUX;130482335;accueil@domainedumanet.com;http://www.domainedumanet.com;-;86;72;-;-;-
09/11/2016;09/11/2016;CAMPING;4 étoiles;Tourisme;-;LE VILLAGE PARISIEN;2 Rue des Otages;77910;VARREDDES;251204194;contact@camp-atlantique.com;www.villageparisien.com;-;-;-;255;-;-
09/11/2016;09/11/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;CITADINES DIDOT MONTPARNASS PARIS ;94 rue de didot;75014;PARIS;153903800;didotmontparnass@citadines.com;http://www.citadines.com;-;209;-;-;80;-
08/11/2016;08/11/2016;HÔTEL;3 étoiles;-;-;HÔTEL JACQUES DE MOLAY;94 rue des archives;75003;PARIS;142726822;contact@hotelmolay.fr;http://www.hotelmolay.fr;-;46;23;-;-;-
02/11/2016;02/11/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;CITADINES AUSTERLITZ PARIS;27 RUE ESQUIROL;75013;PARIS;156615400;austerlitz@citadines.com;http://www.citadines.com;-;104;-;-;50;-
02/11/2016;02/11/2016;RÉSIDENCE DE TOURISME;4 étoiles;-;-;ADAGIO PARIS MONTROUGE;96 rue Gabriel Péri;92120;MONTROUGE;141171030;h6987@adagio-city.com;http://adagio-city.com;-;346;-;-;133;-
28/10/2016;28/10/2016;HÔTEL;2 étoiles;-;-;HÔTEL IBIS BUDGET PARIS PORTE DE PANTIN;96-98 AVENUE DU Général LECLERC;93500;PANTIN;148402280;h3088-re@accor.com;http://accorhotels.com;-;275;108;-;-;-
26/10/2016;26/10/2016;RÉSIDENCE DE TOURISME;4 étoiles;-;-;ADAGIO PARIS OPÉRA;43 RUE CAUMARTIN;75009;PARIS;158180820;h6988@adagio-city.com;http://www.accorhotels.com/fr/hotel-6988-aparthotel-adagio-paris-opera/index.shtml;-;250;-;-;99;-
25/10/2016;25/10/2016;HÔTEL;3 étoiles;-;-;LE FABE HÔTEL;113 bis rue de l'ouest;75014;PARIS;140440963;info@lefabehotel.fr;http://www.lefabehotel.fr;-;34;17;-;-;-
